keyFile,ignore,element,valueSize,keySize,container,constructType,constructUS,lookupType,lookupUS
../keys/keys_integer.txt,10,10,4,4,vector,0,0.223889,0,0.0621739
../keys/keys_integer.txt,10,10,4,4,map,0,1.9952,0,0.0741667
../keys/keys_integer.txt,10,10,4,4,unordered_map,0,2.04565,0,0.160526
../keys/keys_integer.txt,10,10,4,4,flat_map,0,0.528279,0,0.0556522
../keys/keys_integer.txt,10,100,4,4,vector,0,0.697465,0,0.036913
../keys/keys_integer.txt,10,100,4,4,map,0,18.503,0,0.0667826
../keys/keys_integer.txt,10,100,4,4,unordered_map,0,20.6877,0,0.0872609
../keys/keys_integer.txt,10,100,4,4,flat_map,0,8.48986,0,0.0501739
../keys/keys_integer.txt,10,1000,4,4,vector,0,5.30436,0,0.179377
../keys/keys_integer.txt,10,1000,4,4,map,0,205.148,0,0.075325
../keys/keys_integer.txt,10,1000,4,4,unordered_map,0,196.537,0,0.080725
../keys/keys_integer.txt,10,1000,4,4,flat_map,0,244.707,0,0.0648217
../keys/keys_integer.txt,10,10000,4,4,vector,0,53.6253,0,1.68593
../keys/keys_integer.txt,10,10000,4,4,map,0,2360.52,0,0.127624
../keys/keys_integer.txt,10,10000,4,4,unordered_map,0,1679.32,0,0.0660624
../keys/keys_integer.txt,10,10000,4,4,flat_map,0,18195.5,0,0.0842974
../keys/keys_integer.txt,10,10,16,4,vector,0,0.361176,0,0.0621739
../keys/keys_integer.txt,10,10,16,4,map,0,3.01627,0,0.0873913
../keys/keys_integer.txt,10,10,16,4,unordered_map,0,3.1939,0,0.104783
../keys/keys_integer.txt,10,10,16,4,flat_map,0,0.725882,0,0.0530435
../keys/keys_integer.txt,10,100,16,4,vector,0,1.22739,0,0.0364348
../keys/keys_integer.txt,10,100,16,4,map,0,23.2261,0,0.0708261
../keys/keys_integer.txt,10,100,16,4,unordered_map,0,22.6623,0,0.08592
../keys/keys_integer.txt,10,100,16,4,flat_map,0,9.31111,0,0.0555652
../keys/keys_integer.txt,10,1000,16,4,vector,0,8.75612,0,0.180248
../keys/keys_integer.txt,10,1000,16,4,map,0,220.227,0,0.0859667
../keys/keys_integer.txt,10,1000,16,4,unordered_map,0,210.317,0,0.094644
../keys/keys_integer.txt,10,1000,16,4,flat_map,0,272.694,0,0.0711125
../keys/keys_integer.txt,10,10000,16,4,vector,0,78.1034,0,1.75788
../keys/keys_integer.txt,10,10000,16,4,map,0,2496.31,0,0.137783
../keys/keys_integer.txt,10,10000,16,4,unordered_map,0,1756.3,0,0.0783991
../keys/keys_integer.txt,10,10000,16,4,flat_map,0,22506.2,0,0.0930335
../keys/keys_integer.txt,10,10,64,4,vector,0,0.698039,0,0.0576
../keys/keys_integer.txt,10,10,64,4,map,0,3.218,0,0.0880769
../keys/keys_integer.txt,10,10,64,4,unordered_map,0,3.538,0,0.123478
../keys/keys_integer.txt,10,10,64,4,flat_map,0,1.072,0,0.0619231
../keys/keys_integer.txt,10,100,64,4,vector,0,1.94906,0,0.04072
../keys/keys_integer.txt,10,100,64,4,map,0,26.1544,0,0.07424
../keys/keys_integer.txt,10,100,64,4,unordered_map,0,27.2088,0,0.09868
../keys/keys_integer.txt,10,100,64,4,flat_map,0,12.7962,0,0.0593077
../keys/keys_integer.txt,10,1000,64,4,vector,0,15.1761,0,0.272479
../keys/keys_integer.txt,10,1000,64,4,map,0,265.685,0,0.0937423
../keys/keys_integer.txt,10,1000,64,4,unordered_map,0,246.252,0,0.128221
../keys/keys_integer.txt,10,1000,64,4,flat_map,0,648.389,0,0.082496
../keys/keys_integer.txt,10,10000,64,4,vector,0,148.872,0,5.3143
../keys/keys_integer.txt,10,10000,64,4,map,0,3172.99,0,0.178169
../keys/keys_integer.txt,10,10000,64,4,unordered_map,0,2118.3,0,0.117226
../keys/keys_integer.txt,10,10000,64,4,flat_map,0,68347.9,0,0.112954
../keys/keys_integer.txt,10,10,256,4,vector,0,2.13571,0,0.0616
../keys/keys_integer.txt,10,10,256,4,map,0,5.05,0,0.1012
../keys/keys_integer.txt,10,10,256,4,unordered_map,0,5.06429,0,0.1256
../keys/keys_integer.txt,10,10,256,4,flat_map,0,2.27143,0,0.072
../keys/keys_integer.txt,10,100,256,4,vector,0,10.4786,0,0.0439231
../keys/keys_integer.txt,10,100,256,4,map,0,44.5286,0,0.09084
../keys/keys_integer.txt,10,100,256,4,unordered_map,0,41.7429,0,0.13244
../keys/keys_integer.txt,10,100,256,4,flat_map,0,49.2071,0,0.064
../keys/keys_integer.txt,10,1000,256,4,vector,0,87.2071,0,0.321865
../keys/keys_integer.txt,10,1000,256,4,map,0,451.975,0,0.129854
../keys/keys_integer.txt,10,1000,256,4,unordered_map,0,412.225,0,0.188921
../keys/keys_integer.txt,10,1000,256,4,flat_map,0,3597.64,0,0.0903333
../keys/keys_integer.txt,10,10000,256,4,vector,0,915.242,0,8.14158
../keys/keys_integer.txt,10,10000,256,4,map,0,4618.69,0,0.223856
../keys/keys_integer.txt,10,10000,256,4,unordered_map,0,3601.79,0,0.193849
../keys/keys_integer.txt,10,10000,256,4,flat_map,0,404940,0,0.138236
../keys/keys_string10.txt,10,10,4,10,vector,0,0.433231,0,0.086
../keys/keys_string10.txt,10,10,4,10,map,0,2.9128,0,0.1016
../keys/keys_string10.txt,10,10,4,10,unordered_map,0,3.01,0,0.1704
../keys/keys_string10.txt,10,10,4,10,flat_map,0,1.06374,0,0.0988889
../keys/keys_string10.txt,10,100,4,10,vector,0,2.33676,0,0.24188
../keys/keys_string10.txt,10,100,4,10,map,0,24.8126,0,0.119346
../keys/keys_string10.txt,10,100,4,10,unordered_map,0,39.1124,0,0.193577
../keys/keys_string10.txt,10,100,4,10,flat_map,0,23.2979,0,0.13476
../keys/keys_string10.txt,10,1000,4,10,vector,0,18.8846,0,2.18962
../keys/keys_string10.txt,10,1000,4,10,map,0,306.175,0,0.174242
../keys/keys_string10.txt,10,1000,4,10,unordered_map,0,408.092,0,0.217621
../keys/keys_string10.txt,10,1000,4,10,flat_map,0,1132.16,0,0.18785
../keys/keys_string10.txt,10,10000,4,10,vector,0,192.831,0,21.5719
../keys/keys_string10.txt,10,10000,4,10,map,0,3906.21,0,0.285484
../keys/keys_string10.txt,10,10000,4,10,unordered_map,0,3212.94,0,0.121954
../keys/keys_string10.txt,10,10000,4,10,flat_map,0,99900.2,0,0.260071
../keys/keys_string10.txt,10,10,16,10,vector,0,0.517164,0,0.0796
../keys/keys_string10.txt,10,10,16,10,map,0,2.69209,0,0.1204
../keys/keys_string10.txt,10,10,16,10,unordered_map,0,3.62074,0,0.157692
../keys/keys_string10.txt,10,10,16,10,flat_map,0,1.12815,0,0.1076
../keys/keys_string10.txt,10,100,16,10,vector,0,2.50728,0,0.22532
../keys/keys_string10.txt,10,100,16,10,map,0,26.9965,0,0.12512
../keys/keys_string10.txt,10,100,16,10,unordered_map,0,41.5812,0,0.20056
../keys/keys_string10.txt,10,100,16,10,flat_map,0,23.6092,0,0.12684
../keys/keys_string10.txt,10,1000,16,10,vector,0,21.1526,0,2.15271
../keys/keys_string10.txt,10,1000,16,10,map,0,310.532,0,0.170604
../keys/keys_string10.txt,10,1000,16,10,unordered_map,0,427.207,0,0.221371
../keys/keys_string10.txt,10,1000,16,10,flat_map,0,1149.12,0,0.1884
../keys/keys_string10.txt,10,10000,16,10,vector,0,212.704,0,20.8444
../keys/keys_string10.txt,10,10000,16,10,map,0,3994.93,0,0.26689
../keys/keys_string10.txt,10,10000,16,10,unordered_map,0,3334.51,0,0.134814
../keys/keys_string10.txt,10,10000,16,10,flat_map,0,102381,0,0.269002
../keys/keys_string10.txt,10,10,64,10,vector,0,0.889583,0,0.0852
../keys/keys_string10.txt,10,10,64,10,map,0,3.97234,0,0.136
../keys/keys_string10.txt,10,10,64,10,unordered_map,0,4.50638,0,0.14
../keys/keys_string10.txt,10,10,64,10,flat_map,0,1.89574,0,0.0928
../keys/keys_string10.txt,10,100,64,10,vector,0,4.28261,0,0.2474
../keys/keys_string10.txt,10,100,64,10,map,0,32.1745,0,0.129654
../keys/keys_string10.txt,10,100,64,10,unordered_map,0,47.7644,0,0.201269
../keys/keys_string10.txt,10,100,64,10,flat_map,0,26.6625,0,0.13136
../keys/keys_string10.txt,10,1000,64,10,vector,0,36.3512,0,2.30028
../keys/keys_string10.txt,10,1000,64,10,map,0,352.561,0,0.180271
../keys/keys_string10.txt,10,1000,64,10,unordered_map,0,464.392,0,0.241654
../keys/keys_string10.txt,10,1000,64,10,flat_map,0,1603.62,0,0.1806
../keys/keys_string10.txt,10,10000,64,10,vector,0,333.125,0,24.4439
../keys/keys_string10.txt,10,10000,64,10,map,0,4562.04,0,0.294409
../keys/keys_string10.txt,10,10000,64,10,unordered_map,0,3800.9,0,0.162956
../keys/keys_string10.txt,10,10000,64,10,flat_map,0,163403,0,0.284425
../keys/keys_string10.txt,10,10,256,10,vector,0,2.87857,0,0.0884615
../keys/keys_string10.txt,10,10,256,10,map,0,5.7,0,0.1472
../keys/keys_string10.txt,10,10,256,10,unordered_map,0,6.23571,0,0.1716
../keys/keys_string10.txt,10,10,256,10,flat_map,0,3.30714,0,0.1056
../keys/keys_string10.txt,10,100,256,10,vector,0,15.6154,0,0.237885
../keys/keys_string10.txt,10,100,256,10,map,0,49.4786,0,0.16284
../keys/keys_string10.txt,10,100,256,10,unordered_map,0,68.5,0,0.22768
../keys/keys_string10.txt,10,100,256,10,flat_map,0,59.8214,0,0.15324
../keys/keys_string10.txt,10,1000,256,10,vector,0,121.454,0,2.11187
../keys/keys_string10.txt,10,1000,256,10,map,0,516.7,0,0.216667
../keys/keys_string10.txt,10,1000,256,10,unordered_map,0,626.017,0,0.267812
../keys/keys_string10.txt,10,1000,256,10,flat_map,0,4204.5,0,0.220567
../keys/keys_string10.txt,10,10000,256,10,vector,0,1295.55,0,26.2943
../keys/keys_string10.txt,10,10000,256,10,map,0,6092.34,0,0.340974
../keys/keys_string10.txt,10,10000,256,10,unordered_map,0,5213.21,0,0.225751
../keys/keys_string10.txt,10,10000,256,10,flat_map,0,439820,0,0.346507
../keys/keys_string32.txt,10,10,4,32,vector,0,2.96429,0,0.137692
../keys/keys_string32.txt,10,10,4,32,map,0,5.4505,0,0.157692
../keys/keys_string32.txt,10,10,4,32,unordered_map,0,8.51649,0,0.2404
../keys/keys_string32.txt,10,10,4,32,flat_map,0,3.66939,0,0.1644
../keys/keys_string32.txt,10,100,4,32,vector,0,14.1685,0,0.2242
../keys/keys_string32.txt,10,100,4,32,map,0,43.557,0,0.15776
../keys/keys_string32.txt,10,100,4,32,unordered_map,0,69.5689,0,0.26408
../keys/keys_string32.txt,10,100,4,32,flat_map,0,36.5561,0,0.165
../keys/keys_string32.txt,10,1000,4,32,vector,0,132.08,0,1.93824
../keys/keys_string32.txt,10,1000,4,32,map,0,441.444,0,0.211404
../keys/keys_string32.txt,10,1000,4,32,unordered_map,0,650.112,0,0.285313
../keys/keys_string32.txt,10,1000,4,32,flat_map,0,1259.24,0,0.238283
../keys/keys_string32.txt,10,10000,4,32,vector,0,1174.37,0,21.0122
../keys/keys_string32.txt,10,10000,4,32,map,0,5369.11,0,0.344923
../keys/keys_string32.txt,10,10000,4,32,unordered_map,0,5399.84,0,0.216262
../keys/keys_string32.txt,10,10000,4,32,flat_map,0,105680,0,0.416798
../keys/keys_string32.txt,10,10,16,32,vector,0,3.2411,0,0.1392
../keys/keys_string32.txt,10,10,16,32,map,0,5.50946,0,0.186667
../keys/keys_string32.txt,10,10,16,32,unordered_map,0,7.24722,0,0.2475
../keys/keys_string32.txt,10,10,16,32,flat_map,0,4.80694,0,0.16
../keys/keys_string32.txt,10,100,16,32,vector,0,15.5792,0,0.23392
../keys/keys_string32.txt,10,100,16,32,map,0,42.8931,0,0.149808
../keys/keys_string32.txt,10,100,16,32,unordered_map,0,66.5728,0,0.27192
../keys/keys_string32.txt,10,100,16,32,flat_map,0,37.4934,0,0.17024
../keys/keys_string32.txt,10,1000,16,32,vector,0,125.348,0,1.87006
../keys/keys_string32.txt,10,1000,16,32,map,0,460.308,0,0.219878
../keys/keys_string32.txt,10,1000,16,32,unordered_map,0,630.615,0,0.298535
../keys/keys_string32.txt,10,1000,16,32,flat_map,0,1296.09,0,0.228028
../keys/keys_string32.txt,10,10000,16,32,vector,0,1175.06,0,20.7839
../keys/keys_string32.txt,10,10000,16,32,map,0,5969.79,0,0.389518
../keys/keys_string32.txt,10,10000,16,32,unordered_map,0,5468.01,0,0.220688
../keys/keys_string32.txt,10,10000,16,32,flat_map,0,104433,0,0.411482
../keys/keys_string32.txt,10,10,64,32,vector,0,3.5,0,0.105385
../keys/keys_string32.txt,10,10,64,32,map,0,6.54444,0,0.1732
../keys/keys_string32.txt,10,10,64,32,unordered_map,0,7.86944,0,0.2188
../keys/keys_string32.txt,10,10,64,32,flat_map,0,4.49444,0,0.1572
../keys/keys_string32.txt,10,100,64,32,vector,0,16.8194,0,0.220731
../keys/keys_string32.txt,10,100,64,32,map,0,49.2829,0,0.15928
../keys/keys_string32.txt,10,100,64,32,unordered_map,0,72.5278,0,0.277115
../keys/keys_string32.txt,10,100,64,32,flat_map,0,41.2541,0,0.16376
../keys/keys_string32.txt,10,1000,64,32,vector,0,140.275,0,2.04516
../keys/keys_string32.txt,10,1000,64,32,map,0,500.49,0,0.229754
../keys/keys_string32.txt,10,1000,64,32,unordered_map,0,715.081,0,0.331126
../keys/keys_string32.txt,10,1000,64,32,flat_map,0,1802.62,0,0.232542
../keys/keys_string32.txt,10,10000,64,32,vector,0,1280.48,0,24.1545
../keys/keys_string32.txt,10,10000,64,32,map,0,6568.53,0,0.411765
../keys/keys_string32.txt,10,10000,64,32,unordered_map,0,5897.56,0,0.245953
../keys/keys_string32.txt,10,10000,64,32,flat_map,0,165449,0,0.427884
../keys/keys_string32.txt,10,10,256,32,vector,0,6.38333,0,0.1264
../keys/keys_string32.txt,10,10,256,32,map,0,7.73077,0,0.2
../keys/keys_string32.txt,10,10,256,32,unordered_map,0,9.82308,0,0.248077
../keys/keys_string32.txt,10,10,256,32,flat_map,0,6.23846,0,0.1564
../keys/keys_string32.txt,10,100,256,32,vector,0,28.9077,0,0.23456
../keys/keys_string32.txt,10,100,256,32,map,0,62.6,0,0.19284
../keys/keys_string32.txt,10,100,256,32,unordered_map,0,94.4923,0,0.30844
../keys/keys_string32.txt,10,100,256,32,flat_map,0,78.85,0,0.19852
../keys/keys_string32.txt,10,1000,256,32,vector,0,246.5,0,2.24237
../keys/keys_string32.txt,10,1000,256,32,map,0,670.809,0,0.2722
